ChatID,Role,Content,Feedback
1,User,uwuw,
1,Assistant,¡Hasta luego! ¡Gracias por visitarnos!,
1,User,pep,
1,Assistant,"El horario de IN062 - Preparación y Evaluación de Proyectos (PEP) es:

Cátedra (Cat A):

- Lunes 11:20 a 12:50 hrs en Sala 101 - Aulario A - Saucache con Italo Andrés Marchioni Choque
- Miércoles 11:20 a 12:50 hrs en Sala 101 - Aulario A - Saucache con Italo Andrés Marchioni Choque

Laboratorio (Lab C):

- Miércoles 09:40 a 11:10 hrs en Lab Indus 3 - Nuevo Edificio Depto Industrial - Saucache con Sebastián Ignacio González Aguilera",
2,User,sia,
2,Assistant,"El horario de IN061 - Sistemas de Información Administrativa (SIA) es:

Cátedra (Cat A):

- Lunes 09:40 a 11:10 hrs en Indus 1 - Nuevo Edificio Depto Industrial - Saucache con Sebastián Ignacio González Aguilera
- Miércoles 09:40 a 11:10 hrs en Indus 1 - Nuevo Edificio Depto Industrial - Saucache con Sebastián Ignacio González Aguilera

Cátedra (Cat B):

- Viernes 08:00 a 09:30 hrs en Indus 1 - Nuevo Edificio Depto Industrial - Saucache con Roberto Pizarro
- Lunes 14:45 a 16:15 hrs en Indus 1 - Nuevo Edificio Depto Industrial - Saucache con Roberto Pizarro",
3,User,uwu,
3,Assistant,¡Adiós! ¡Que tengas un buen día!,
4,User,enero,
4,Assistant,¡Nos vemos! Recuerda que siempre estoy aquí para ayudarte.,
1,User,uwu,
1,Assistant,¡Hasta luego! ¡Gracias por visitarnos!,
2,User,sia,
2,Assistant,"El horario de IN061 - Sistemas de Información Administrativa (SIA) es:

Cátedra (Cat A):

- Lunes 09:40 a 11:10 hrs en Indus 1 - Nuevo Edificio Depto Industrial - Saucache con Sebastián Ignacio González Aguilera
- Miércoles 09:40 a 11:10 hrs en Indus 1 - Nuevo Edificio Depto Industrial - Saucache con Sebastián Ignacio González Aguilera

Cátedra (Cat B):

- Viernes 08:00 a 09:30 hrs en Indus 1 - Nuevo Edificio Depto Industrial - Saucache con Roberto Pizarro
- Lunes 14:45 a 16:15 hrs en Indus 1 - Nuevo Edificio Depto Industrial - Saucache con Roberto Pizarro",
3,User,modelos,
3,Assistant,"El horario de IN064 - Modelos Estocásticos es:

Cátedra (Cat B):
- Martes 16:20 a 17:50 hrs en Sala 304 - Aulario C - Saucache con Juan Antonio Vega Vargas
- Jueves 16:20 a 17:50 hrs en Sala 304 - Aulario C - Saucache con Juan Antonio Vega Vargas

Laboratorio (Lab C):
- Miércoles 09:40 a 11:10 hrs en Lab Indus 3 - Nuevo Edificio Depto Industrial - Saucache con Sebastián Ignacio González Aguilera",
4,User,preguntas,
4,Assistant,¡Adiós! ¡Espero verte pronto!,
1,User,A,
1,Assistant,¡Hola! ¿Qué puedo hacer por ti hoy?,
2,User,B,
2,Assistant,¡Adiós! ¡Que tengas un buen día!,
3,User,C,
3,Assistant,¡Cuídate! ¡Hasta luego!,
1,User,A,
1,Assistant,¡Hola! ¿En qué puedo asistirte?,
2,User,B,
2,Assistant,¡Adiós! ¡Que tengas un buen día!,
3,User,C,
3,Assistant,¡Adiós! ¡Que tengas un buen día!,
1,User,uax,
1,Assistant,¡Adiós! ¡Que tengas un buen día!,
2,User,A,
2,Assistant,¡Hola! Espero que tengas un buen día. ¿En qué puedo ayudarte?,
3,User,B,
3,Assistant,¡Hasta la próxima! ¡Fue un placer ayudarte!,
1,User,PEP,
1,Assistant,"El horario de IN062 - Preparación y Evaluación de Proyectos (PEP) es:

Cátedra (Cat A):

- Lunes 11:20 a 12:50 hrs en Sala 101 - Aulario A - Saucache con Italo Andrés Marchioni Choque
- Miércoles 11:20 a 12:50 hrs en Sala 101 - Aulario A - Saucache con Italo Andrés Marchioni Choque

Laboratorio (Lab C):

- Miércoles 09:40 a 11:10 hrs en Lab Indus 3 - Nuevo Edificio Depto Industrial - Saucache con Sebastián Ignacio González Aguilera",
2,User,sia,
2,Assistant,"El horario de IN061 - Sistemas de Información Administrativa (SIA) es:

Cátedra (Cat A):

- Lunes 09:40 a 11:10 hrs en Indus 1 - Nuevo Edificio Depto Industrial - Saucache con Sebastián Ignacio González Aguilera
- Miércoles 09:40 a 11:10 hrs en Indus 1 - Nuevo Edificio Depto Industrial - Saucache con Sebastián Ignacio González Aguilera

Cátedra (Cat B):

- Viernes 08:00 a 09:30 hrs en Indus 1 - Nuevo Edificio Depto Industrial - Saucache con Roberto Pizarro
- Lunes 14:45 a 16:15 hrs en Indus 1 - Nuevo Edificio Depto Industrial - Saucache con Roberto Pizarro",
3,User,modelos,
3,Assistant,"El horario de IN064 - Modelos Estocásticos es:

Cátedra (Cat B):
- Martes 16:20 a 17:50 hrs en Sala 304 - Aulario C - Saucache con Juan Antonio Vega Vargas
- Jueves 16:20 a 17:50 hrs en Sala 304 - Aulario C - Saucache con Juan Antonio Vega Vargas

Laboratorio (Lab C):
- Miércoles 09:40 a 11:10 hrs en Lab Indus 3 - Nuevo Edificio Depto Industrial - Saucache con Sebastián Ignacio González Aguilera",
1,User,pep,
1,Assistant,"El horario de IN062 - Preparación y Evaluación de Proyectos (PEP) es:

Cátedra (Cat A):

- Lunes 11:20 a 12:50 hrs en Sala 101 - Aulario A - Saucache con Italo Andrés Marchioni Choque
- Miércoles 11:20 a 12:50 hrs en Sala 101 - Aulario A - Saucache con Italo Andrés Marchioni Choque

Laboratorio (Lab C):

- Miércoles 09:40 a 11:10 hrs en Lab Indus 3 - Nuevo Edificio Depto Industrial - Saucache con Sebastián Ignacio González Aguilera",
2,User,sia,
2,Assistant,"El horario de IN061 - Sistemas de Información Administrativa (SIA) es:

Cátedra (Cat A):

- Lunes 09:40 a 11:10 hrs en Indus 1 - Nuevo Edificio Depto Industrial - Saucache con Sebastián Ignacio González Aguilera
- Miércoles 09:40 a 11:10 hrs en Indus 1 - Nuevo Edificio Depto Industrial - Saucache con Sebastián Ignacio González Aguilera

Cátedra (Cat B):

- Viernes 08:00 a 09:30 hrs en Indus 1 - Nuevo Edificio Depto Industrial - Saucache con Roberto Pizarro
- Lunes 14:45 a 16:15 hrs en Indus 1 - Nuevo Edificio Depto Industrial - Saucache con Roberto Pizarro",
3,User,uwu,
3,Assistant,"Nos vemos, ¡vuelve pronto!",
1,User,pep,
1,Assistant,"El horario de IN062 - Preparación y Evaluación de Proyectos (PEP) es:

Cátedra (Cat A):

- Lunes 11:20 a 12:50 hrs en Sala 101 - Aulario A - Saucache con Italo Andrés Marchioni Choque
- Miércoles 11:20 a 12:50 hrs en Sala 101 - Aulario A - Saucache con Italo Andrés Marchioni Choque

Laboratorio (Lab C):

- Miércoles 09:40 a 11:10 hrs en Lab Indus 3 - Nuevo Edificio Depto Industrial - Saucache con Sebastián Ignacio González Aguilera",
2,User,sia,
2,Assistant,"El horario de IN061 - Sistemas de Información Administrativa (SIA) es:

Cátedra (Cat A):

- Lunes 09:40 a 11:10 hrs en Indus 1 - Nuevo Edificio Depto Industrial - Saucache con Sebastián Ignacio González Aguilera
- Miércoles 09:40 a 11:10 hrs en Indus 1 - Nuevo Edificio Depto Industrial - Saucache con Sebastián Ignacio González Aguilera

Cátedra (Cat B):

- Viernes 08:00 a 09:30 hrs en Indus 1 - Nuevo Edificio Depto Industrial - Saucache con Roberto Pizarro
- Lunes 14:45 a 16:15 hrs en Indus 1 - Nuevo Edificio Depto Industrial - Saucache con Roberto Pizarro",
1,User,Auxilio,
1,Assistant,¡Hasta luego! ¡Gracias por visitarnos!,
1,User,Prueba,
1,Assistant,¡Cuídate! ¡Hasta luego!,
2,User,prueba2,
2,Assistant,¡Adiós! ¡Que tengas un buen día!,
3,User,prueba3,
3,Assistant,¡Cuídate! ¡Hasta luego!,
4,User,prueba4,
4,Assistant,¡Adiós! ¡Espero verte pronto!,
1,User,A,
1,Assistant,¡Hola! Espero que tengas un buen día. ¿En qué puedo ayudarte?,
2,User,B,
2,Assistant,"Nos vemos, ¡vuelve pronto!",
3,User,C,
3,Assistant,¡Hasta luego! ¡Gracias por visitarnos!,
1,User,simp,
1,Assistant,¡Nos vemos! Recuerda que siempre estoy aquí para ayudarte.,
2,User,par,
2,Assistant,¡Adiós! ¡Que tengas un buen día!,
3,User,dis,
3,Assistant,¡Adiós! ¡Que tengas un buen día!,
4,User,pus,
4,Assistant,¡Cuídate! ¡Hasta luego!,
1,User,A,
1,Assistant,¡Hola! ¿Qué necesitas?,
2,User,B,
2,Assistant,¡Hasta luego! ¡Gracias por visitarnos!,
3,User,C,
3,Assistant,¡Adiós! ¡Que tengas un buen día!,
1,User,heelo,
1,Assistant,"Nos vemos, ¡vuelve pronto!",
1,User,Syllabus,
1,Assistant,¡Adiós! ¡Que tengas un buen día!,
2,User,{ñ{{ñ,
2,Assistant,¡Hasta luego! ¡Gracias por visitarnos!,
1,User,Información General,
1,Assistant,La carrera de Ingeniería Industrial tiene como objetivo formar profesionales capaces de gestionar y optimizar sistemas y recursos para la producción de bienes y servicios en diversas organizaciones.,
2,User,historia de la carrera,
2,Assistant,"Esta Área tiene una trayectoria de 33 años en la formación de Ingenieros y tiene su origen en el año 1970 con la creación de la Sección Gestión de la Producción dentro del Departamento de Ingeniería Mecánica de la Sede Arica de la Universidad del Norte. Los académicos del programa de Ingeniería Civil Industrial (Acreditada por 3 años) que se inicia en 1978 dan origen a la creación del Departamento de Industrias, en marzo de 1982. Actualmente, esta unidad dicta en Arica la carrera de Ingeniería Civil Industrial, con salida intermedia a Ingeniería de Ejecución Industrial.",
3,User,vision,
3,Assistant,¡Hasta luego! ¡Gracias por visitarnos!,
4,User,Perfil de egreso,
4,Assistant,"El egresado es un profesional autónomo y competente en la gestión de sistemas organizacionales, capaz de integrar y optimizar los recursos disponibles en empresas de diversos sectores.",
5,User,campo laboral,
5,Assistant,¡Cuídate! ¡Hasta luego!,
6,User,plan  de estudios,
6,Assistant,"El plan de estudios de Ingeniería Industrial cubre áreas como matemáticas, física, economía, administración, operaciones, y más, ofreciendo una formación integral en diversas disciplinas.",
1,User,mision,
1,Assistant,"El Área de Ingeniería Industrial de la Universidad de Tarapacá es una unidad académica formada por un equipo multidisciplinario de ingenieros y administrativos que buscan, bajo procesos de calidad y la transferencia de conocimiento, formar profesionales en el ámbito de la ingeniería industrial capaces de enfrentar con éxito los desafíos organizacionales. Tiene como propósito fundamental generar, desarrollar, aplicar y difundir en forma continua, conocimientos relacionados con el quehacer industrial y la comunidad en general, mediante actividades de docencia, extensión e investigación aplicada a través de la innovación, el mejoramiento continuo y el trabajo en equipo.",
2,User,visión,
2,Assistant,La visión de la carrera es ser una unidad de prestigio y reconocimiento por su aporte en la formación de profesionales capaces de enfrentar los desafíos en el área de la ingeniería industrial.,
3,User,perfil de egreso,
